INSERT INTO schedule(departTime, arriveTime, airline, price, departCtID, arriveCtID) VALUES
('2020-10-25 4:00:00', '2020-10-25 9:00:00', 7, 788400, 30, 10),
('2020-10-25 15:00:00', '2020-10-25 20:00:00', 9, 711600, 10, 30),
('2020-10-25 15:00:00', '2020-10-25 20:00:00', 9, 611400, 30, 10),
('2020-10-25 16:00:00', '2020-10-25 21:00:00', 9, 732100, 10, 30),
('2020-10-25 16:00:00', '2020-10-25 21:00:00', 9, 713900, 30, 10),
('2020-10-25 2:00:00', '2020-10-25 7:00:00', 9, 371500, 10, 40),
('2020-10-25 2:00:00', '2020-10-25 7:00:00', 9, 719700, 40, 10),
('2020-10-25 8:00:00', '2020-10-25 13:00:00', 9, 479400, 10, 40),
('2020-10-25 8:00:00', '2020-10-25 13:00:00', 9, 768100, 40, 10),
('2020-10-25 4:00:00', '2020-10-25 9:00:00', 9, 500900, 10, 40),
('2020-10-25 4:00:00', '2020-10-25 9:00:00', 9, 538500, 40, 10),
('2020-10-25 5:00:00', '2020-10-25 10:00:00', 9, 508300, 10, 40),
('2020-10-25 5:00:00', '2020-10-25 10:00:00', 9, 451500, 40, 10),
('2020-10-25 15:00:00', '2020-10-25 20:00:00', 7, 617200, 10, 50),
('2020-10-25 15:00:00', '2020-10-25 20:00:00', 7, 359100, 50, 10),
('2020-10-25 4:00:00', '2020-10-25 9:00:00', 9, 341200, 10, 50),
('2020-10-25 4:00:00', '2020-10-25 9:00:00', 9, 391300, 50, 10),
('2020-10-25 2:00:00', '2020-10-25 7:00:00', 9, 316600, 10, 50),
('2020-10-25 2:00:00', '2020-10-25 7:00:00', 9, 791500, 50, 10),
('2020-10-25 10:00:00', '2020-10-25 15:00:00', 9, 746300, 10, 50),
('2020-10-25 10:00:00', '2020-10-25 15:00:00', 9, 430600, 50, 10),
('2020-10-26 10:00:00', '2020-10-26 15:00:00', 8, 782500, 10, 20),
('2020-10-26 10:00:00', '2020-10-26 15:00:00', 8, 745800, 20, 10),
('2020-10-26 14:00:00', '2020-10-26 19:00:00', 8, 485500, 10, 20),
('2020-10-26 14:00:00', '2020-10-26 19:00:00', 8, 549700, 20, 10),
('2020-10-26 2:00:00', '2020-10-26 7:00:00', 9, 691500, 10, 20),
('2020-10-26 2:00:00', '2020-10-26 7:00:00', 9, 383000, 20, 10),
('2020-10-26 17:00:00', '2020-10-26 22:00:00', 8, 400300, 10, 20),
('2020-10-26 17:00:00', '2020-10-26 22:00:00', 8, 439600, 20, 10),
('2020-10-26 13:00:00', '2020-10-26 18:00:00', 9, 348300, 10, 30),
('2020-10-26 13:00:00', '2020-10-26 18:00:00', 9, 633400, 30, 10),
('2020-10-26 13:00:00', '2020-10-26 18:00:00', 7, 400300, 10, 30),
('2020-10-26 13:00:00', '2020-10-26 18:00:00', 7, 489700, 30, 10),
('2020-10-26 3:00:00', '2020-10-26 8:00:00', 8, 482500, 10, 30),
('2020-10-26 3:00:00', '2020-10-26 8:00:00', 8, 575200, 30, 10),
('2020-10-26 11:00:00', '2020-10-26 16:00:00', 8, 317800, 10, 30),
('2020-10-26 11:00:00', '2020-10-26 16:00:00', 8, 342400, 30, 10),
('2020-10-26 5:00:00', '2020-10-26 10:00:00', 7, 685700, 10, 40),
('2020-10-26 5:00:00', '2020-10-26 10:00:00', 7, 328100, 40, 10),
('2020-10-26 9:00:00', '2020-10-26 14:00:00', 9, 724200, 10, 40),
('2020-10-26 9:00:00', '2020-10-26 14:00:00', 9, 448600, 40, 10),
('2020-10-26 5:00:00', '2020-10-26 10:00:00', 9, 639200, 10, 40),
('2020-10-26 5:00:00', '2020-10-26 10:00:00', 9, 494500, 40, 10),
('2020-10-26 5:00:00', '2020-10-26 10:00:00', 9, 527400, 10, 40),
('2020-10-26 5:00:00', '2020-10-26 10:00:00', 9, 614200, 40, 10),
('2020-10-26 15:00:00', '2020-10-26 20:00:00', 7, 586100, 10, 50),
('2020-10-26 15:00:00', '2020-10-26 20:00:00', 7, 767400, 50, 10),
('2020-10-26 3:00:00', '2020-10-26 8:00:00', 9, 616300, 10, 50),
('2020-10-26 3:00:00', '2020-10-26 8:00:00', 9, 525500, 50, 10),
('2020-10-26 13:00:00', '2020-10-26 18:00:00', 7, 718500, 10, 50),
('2020-10-26 13:00:00', '2020-10-26 18:00:00', 7, 499100, 50, 10),
('2020-10-26 7:00:00', '2020-10-26 12:00:00', 9, 651800, 10, 50),
('2020-10-26 7:00:00', '2020-10-26 12:00:00', 9, 391500, 50, 10),
('2020-10-27 7:00:00', '2020-10-27 12:00:00', 8, 562300, 10, 20),
('2020-10-27 7:00:00', '2020-10-27 12:00:00', 8, 353500, 20, 10),
('2020-10-27 10:00:00', '2020-10-27 15:00:00', 8, 446300, 10, 20),
('2020-10-27 10:00:00', '2020-10-27 15:00:00', 8, 629100, 20, 10),
('2020-10-27 9:00:00', '2020-10-27 14:00:00', 7, 596400, 10, 20),
('2020-10-27 9:00:00', '2020-10-27 14:00:00', 7, 436000, 20, 10),
('2020-10-27 12:00:00', '2020-10-27 17:00:00', 8, 506100, 10, 20),
('2020-10-27 12:00:00', '2020-10-27 17:00:00', 8, 637300, 20, 10),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 7, 593500, 10, 30),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 7, 456600, 30, 10),
('2020-10-27 6:00:00', '2020-10-27 11:00:00', 7, 384700, 10, 30),
('2020-10-27 6:00:00', '2020-10-27 11:00:00', 7, 305600, 30, 10),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 8, 461700, 10, 30),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 8, 661100, 30, 10),
('2020-10-27 6:00:00', '2020-10-27 11:00:00', 9, 537500, 10, 30),
('2020-10-27 6:00:00', '2020-10-27 11:00:00', 9, 652400, 30, 10),
('2020-10-27 13:00:00', '2020-10-27 18:00:00', 8, 404600, 10, 40),
('2020-10-27 13:00:00', '2020-10-27 18:00:00', 8, 409400, 40, 10),
('2020-10-27 4:00:00', '2020-10-27 9:00:00', 7, 485100, 10, 40),
('2020-10-27 4:00:00', '2020-10-27 9:00:00', 7, 473300, 40, 10),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 7, 725800, 10, 40),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 7, 693500, 40, 10),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 8, 511800, 10, 40),
('2020-10-27 15:00:00', '2020-10-27 20:00:00', 8, 363000, 40, 10),
('2020-10-27 12:00:00', '2020-10-27 17:00:00', 8, 309300, 10, 50),
('2020-10-27 12:00:00', '2020-10-27 17:00:00', 8, 548600, 50, 10),
('2020-10-27 3:00:00', '2020-10-27 8:00:00', 9, 481900, 10, 50),
('2020-10-27 3:00:00', '2020-10-27 8:00:00', 9, 655200, 50, 10),
('2020-10-27 7:00:00', '2020-10-27 12:00:00', 7, 532700, 10, 50),
('2020-10-27 7:00:00', '2020-10-27 12:00:00', 7, 790500, 50, 10),
('2020-10-27 2:00:00', '2020-10-27 7:00:00', 8, 649000, 10, 50),
('2020-10-27 2:00:00', '2020-10-27 7:00:00', 8, 557800, 50, 10),
('2020-10-28 14:00:00', '2020-10-28 19:00:00', 9, 510700, 10, 20),
('2020-10-28 14:00:00', '2020-10-28 19:00:00', 9, 644400, 20, 10),
('2020-10-28 7:00:00', '2020-10-28 12:00:00', 7, 671200, 10, 20),
('2020-10-28 7:00:00', '2020-10-28 12:00:00', 7, 312000, 20, 10),
('2020-10-28 13:00:00', '2020-10-28 18:00:00', 7, 539200, 10, 20),
('2020-10-28 13:00:00', '2020-10-28 18:00:00', 7, 714400, 20, 10),
('2020-10-28 7:00:00', '2020-10-28 12:00:00', 8, 648300, 10, 20),
('2020-10-28 7:00:00', '2020-10-28 12:00:00', 8, 645300, 20, 10),
('2020-10-28 8:00:00', '2020-10-28 13:00:00', 8, 763400, 10, 30),
('2020-10-28 8:00:00', '2020-10-28 13:00:00', 8, 418200, 30, 10),
('2020-10-28 5:00:00', '2020-10-28 10:00:00', 8, 308300, 10, 30),
('2020-10-28 5:00:00', '2020-10-28 10:00:00', 8, 373000, 30, 10),
('2020-10-28 5:00:00', '2020-10-28 10:00:00', 8, 790900, 10, 30),
('2020-10-28 5:00:00', '2020-10-28 10:00:00', 8, 347500, 30, 10),
('2020-10-28 3:00:00', '2020-10-28 8:00:00', 8, 609000, 10, 30),
('2020-10-28 3:00:00', '2020-10-28 8:00:00', 8, 746300, 30, 10),
('2020-10-28 8:00:00', '2020-10-28 13:00:00', 7, 308200, 10, 40),
('2020-10-28 8:00:00', '2020-10-28 13:00:00', 7, 615600, 40, 10),
('2020-10-28 4:00:00', '2020-10-28 9:00:00', 9, 544400, 10, 40),
('2020-10-28 4:00:00', '2020-10-28 9:00:00', 9, 791100, 40, 10),
('2020-10-28 14:00:00', '2020-10-28 19:00:00', 8, 680800, 10, 40),
('2020-10-28 14:00:00', '2020-10-28 19:00:00', 8, 338400, 40, 10),
('2020-10-28 15:00:00', '2020-10-28 20:00:00', 8, 468700, 10, 40),
('2020-10-28 15:00:00', '2020-10-28 20:00:00', 8, 455800, 40, 10),
('2020-10-28 16:00:00', '2020-10-28 21:00:00', 8, 302000, 10, 50),
('2020-10-28 16:00:00', '2020-10-28 21:00:00', 8, 733100, 50, 10),
('2020-10-28 9:00:00', '2020-10-28 14:00:00', 7, 789200, 10, 50),
('2020-10-28 9:00:00', '2020-10-28 14:00:00', 7, 359500, 50, 10),
('2020-10-28 11:00:00', '2020-10-28 16:00:00', 7, 539200, 10, 50),
('2020-10-28 11:00:00', '2020-10-28 16:00:00', 7, 742300, 50, 10),
('2020-10-28 15:00:00', '2020-10-28 20:00:00', 7, 567600, 10, 50),
('2020-10-28 15:00:00', '2020-10-28 20:00:00', 7, 542400, 50, 10),
('2020-10-29 1:00:00', '2020-10-29 6:00:00', 9, 783100, 10, 20),
('2020-10-29 1:00:00', '2020-10-29 6:00:00', 9, 483400, 20, 10),
('2020-10-29 8:00:00', '2020-10-29 13:00:00', 7, 542700, 10, 20),
('2020-10-29 8:00:00', '2020-10-29 13:00:00', 7, 300700, 20, 10),
('2020-10-29 8:00:00', '2020-10-29 13:00:00', 7, 403100, 10, 20),
('2020-10-29 8:00:00', '2020-10-29 13:00:00', 7, 490800, 20, 10),
('2020-10-29 15:00:00', '2020-10-29 20:00:00', 8, 751100, 10, 20),
('2020-10-29 15:00:00', '2020-10-29 20:00:00', 8, 710000, 20, 10),
('2020-10-29 7:00:00', '2020-10-29 12:00:00', 9, 589300, 10, 30),
('2020-10-29 7:00:00', '2020-10-29 12:00:00', 9, 534300, 30, 10),
('2020-10-29 3:00:00', '2020-10-29 8:00:00', 9, 439300, 10, 30),
('2020-10-29 3:00:00', '2020-10-29 8:00:00', 9, 492700, 30, 10),
('2020-10-29 15:00:00', '2020-10-29 20:00:00', 7, 534000, 10, 30),
('2020-10-29 15:00:00', '2020-10-29 20:00:00', 7, 771900, 30, 10),
('2020-10-29 16:00:00', '2020-10-29 21:00:00', 7, 706600, 10, 30),
('2020-10-29 16:00:00', '2020-10-29 21:00:00', 7, 722500, 30, 10),
('2020-10-29 9:00:00', '2020-10-29 14:00:00', 7, 749400, 10, 40),
('2020-10-29 9:00:00', '2020-10-29 14:00:00', 7, 734600, 40, 10),
('2020-10-29 16:00:00', '2020-10-29 21:00:00', 9, 610300, 10, 40),
('2020-10-29 16:00:00', '2020-10-29 21:00:00', 9, 714700, 40, 10),
('2020-10-29 1:00:00', '2020-10-29 6:00:00', 9, 616800, 10, 40),
('2020-10-29 1:00:00', '2020-10-29 6:00:00', 9, 403100, 40, 10),
('2020-10-29 14:00:00', '2020-10-29 19:00:00', 9, 413400, 10, 40),
('2020-10-29 14:00:00', '2020-10-29 19:00:00', 9, 633200, 40, 10),
('2020-10-29 8:00:00', '2020-10-29 13:00:00', 9, 596200, 10, 50),
('2020-10-29 8:00:00', '2020-10-29 13:00:00', 9, 748800, 50, 10),
('2020-10-29 11:00:00', '2020-10-29 16:00:00', 7, 437400, 10, 50),
('2020-10-29 11:00:00', '2020-10-29 16:00:00', 7, 501000, 50, 10),
('2020-10-29 7:00:00', '2020-10-29 12:00:00', 7, 702800, 10, 50),
('2020-10-29 7:00:00', '2020-10-29 12:00:00', 7, 582500, 50, 10),
('2020-10-29 17:00:00', '2020-10-29 22:00:00', 8, 542600, 10, 50),
('2020-10-29 17:00:00', '2020-10-29 22:00:00', 8, 694900, 50, 10),
('2020-10-30 4:00:00', '2020-10-30 9:00:00', 9, 588200, 10, 20),
('2020-10-30 4:00:00', '2020-10-30 9:00:00', 9, 670400, 20, 10),
('2020-10-30 12:00:00', '2020-10-30 17:00:00', 9, 567800, 10, 20),
('2020-10-30 12:00:00', '2020-10-30 17:00:00', 9, 436000, 20, 10),
('2020-10-30 6:00:00', '2020-10-30 11:00:00', 8, 456900, 10, 20),
('2020-10-30 6:00:00', '2020-10-30 11:00:00', 8, 462100, 20, 10),
('2020-10-30 5:00:00', '2020-10-30 10:00:00', 7, 654400, 10, 20),
('2020-10-30 5:00:00', '2020-10-30 10:00:00', 7, 645700, 20, 10),
('2020-10-30 1:00:00', '2020-10-30 6:00:00', 9, 689500, 10, 30),
('2020-10-30 1:00:00', '2020-10-30 6:00:00', 9, 368100, 30, 10),
('2020-10-30 3:00:00', '2020-10-30 8:00:00', 7, 729600, 10, 30),
('2020-10-30 3:00:00', '2020-10-30 8:00:00', 7, 313500, 30, 10),
('2020-10-30 9:00:00', '2020-10-30 14:00:00', 9, 333400, 10, 30),
('2020-10-30 9:00:00', '2020-10-30 14:00:00', 9, 444000, 30, 10),
('2020-10-30 17:00:00', '2020-10-30 22:00:00', 8, 519900, 10, 30),
('2020-10-30 17:00:00', '2020-10-30 22:00:00', 8, 426500, 30, 10),
('2020-10-30 17:00:00', '2020-10-30 22:00:00', 7, 787200, 10, 40),
('2020-10-30 17:00:00', '2020-10-30 22:00:00', 7, 693700, 40, 10),
('2020-10-30 3:00:00', '2020-10-30 8:00:00', 9, 440300, 10, 40),
('2020-10-30 3:00:00', '2020-10-30 8:00:00', 9, 604200, 40, 10),
('2020-10-30 7:00:00', '2020-10-30 12:00:00', 7, 774800, 10, 40),
('2020-10-30 7:00:00', '2020-10-30 12:00:00', 7, 626600, 40, 10),
('2020-10-30 6:00:00', '2020-10-30 11:00:00', 8, 640100, 10, 40),
('2020-10-30 6:00:00', '2020-10-30 11:00:00', 8, 652900, 40, 10),
('2020-10-30 15:00:00', '2020-10-30 20:00:00', 9, 383100, 10, 50),
('2020-10-30 15:00:00', '2020-10-30 20:00:00', 9, 395800, 50, 10),
('2020-10-30 10:00:00', '2020-10-30 15:00:00', 9, 506500, 10, 50),
('2020-10-30 10:00:00', '2020-10-30 15:00:00', 9, 583400, 50, 10),
('2020-10-30 15:00:00', '2020-10-30 20:00:00', 9, 374800, 10, 50),
('2020-10-30 15:00:00', '2020-10-30 20:00:00', 9, 590400, 50, 10),
('2020-10-30 4:00:00', '2020-10-30 9:00:00', 7, 619000, 10, 50),
('2020-10-30 4:00:00', '2020-10-30 9:00:00', 7, 310400, 50, 10),
('2020-10-31 6:00:00', '2020-10-31 11:00:00', 9, 449200, 10, 20),
('2020-10-31 6:00:00', '2020-10-31 11:00:00', 9, 495900, 20, 10),
('2020-10-31 16:00:00', '2020-10-31 21:00:00', 8, 548300, 10, 20),
('2020-10-31 16:00:00', '2020-10-31 21:00:00', 8, 608500, 20, 10),
('2020-10-31 11:00:00', '2020-10-31 16:00:00', 7, 700600, 10, 20),
('2020-10-31 11:00:00', '2020-10-31 16:00:00', 7, 701800, 20, 10),
('2020-10-31 12:00:00', '2020-10-31 17:00:00', 9, 673400, 10, 20),
('2020-10-31 12:00:00', '2020-10-31 17:00:00', 9, 678100, 20, 10),
('2020-10-31 17:00:00', '2020-10-31 22:00:00', 7, 380000, 10, 30),
('2020-10-31 17:00:00', '2020-10-31 22:00:00', 7, 584300, 30, 10),
('2020-10-31 2:00:00', '2020-10-31 7:00:00', 8, 575100, 10, 30),
('2020-10-31 2:00:00', '2020-10-31 7:00:00', 8, 377700, 30, 10),
('2020-10-31 16:00:00', '2020-10-31 21:00:00', 9, 345900, 10, 30),
('2020-10-31 16:00:00', '2020-10-31 21:00:00', 9, 738200, 30, 10),
('2020-10-31 11:00:00', '2020-10-31 16:00:00', 9, 403400, 10, 30),
('2020-10-31 11:00:00', '2020-10-31 16:00:00', 9, 752700, 30, 10),
('2020-10-31 17:00:00', '2020-10-31 22:00:00', 9, 777000, 10, 40),
('2020-10-31 17:00:00', '2020-10-31 22:00:00', 9, 355200, 40, 10),
('2020-10-31 6:00:00', '2020-10-31 11:00:00', 9, 556800, 10, 40),
('2020-10-31 6:00:00', '2020-10-31 11:00:00', 9, 546800, 40, 10),
('2020-10-31 6:00:00', '2020-10-31 11:00:00', 8, 631500, 10, 40),
('2020-10-31 6:00:00', '2020-10-31 11:00:00', 8, 411400, 40, 10),
('2020-10-31 1:00:00', '2020-10-31 6:00:00', 7, 381000, 10, 40),
('2020-10-31 1:00:00', '2020-10-31 6:00:00', 7, 577200, 40, 10),
('2020-10-31 17:00:00', '2020-10-31 22:00:00', 8, 639600, 10, 50),
('2020-10-31 17:00:00', '2020-10-31 22:00:00', 8, 763600, 50, 10),
('2020-10-31 7:00:00', '2020-10-31 12:00:00', 8, 468600, 10, 50),
('2020-10-31 7:00:00', '2020-10-31 12:00:00', 8, 485400, 50, 10),
('2020-10-31 16:00:00', '2020-10-31 21:00:00', 7, 450200, 10, 50),
('2020-10-31 16:00:00', '2020-10-31 21:00:00', 7, 358000, 50, 10),
('2020-10-31 4:00:00', '2020-10-31 9:00:00', 8, 622300, 10, 50),
('2020-10-31 4:00:00', '2020-10-31 9:00:00', 8, 605800, 50, 10);
